YEAR,men,women
2008,11.2,8.86
2009,13.11,9.77
2010,13.52,9.74
2011,12.25,9.6
2012,11.74,9.64
2013,12.56,10.35
2014,11.74,9.88
2015,10.91,9.53
2016,10.55,8.93
2017,9.59,8.13
2018,9.64,8.61
2019,9.48,8.13
2020,13.02,11.42
2021,11.64,9.81
2022,10.49,9.43
2023,10.37,9.09
2024,10.48,9.72
